kode_provinsi,provinsi,kode_pemda,pemda,tahun,bansos,belanja_modal,belanja_pegawai,pad,pajak_daerah,retribusi,total_belanja,total_pendapatan,transfer,rasio_pad,rasio_transfer,rasio_pegawai,rasio_modal,rasio_bansos,serapan,growth_pad,growth_belanja,growth_pendapatan,fiscal_score,cluster,pca1,pca2,anomaly,cluster_label
16,Kalimantan Selatan,01,Kab. Banjar,2024,3538774973.0,504865053327.0,967689238104.0,315774855372.0,130670478289.0,7173930214.0,2744136603892.0,2990463010676.0,2410966212656.0,0.10559396797241057,0.8062183695463923,0.352638872544293,0.18397956304760904,0.0012895768264527966,0.9176293417090896,0.3282972101428905,0.30095422501972036,0.32816207970669753,0.2516714345044089,3,0.17180207014525686,-0.9931108986449724,1,Fiskal Menengah Rendah
16,Kalimantan Selatan,01,Kab. Banjar,2025,6631032550.0,473933663541.78,998975015670.0,338776495037.03,189452127252.74,8167677596.0,2619262204893.2,2916700269582.0,2293996142374.0,0.11615060298450927,0.7865039017885642,0.38139557536612984,0.1809416646628185,0.0025316413674095596,0.8980224098476096,0.0728418975536631,-0.04550589749128775,-0.02466599347013021,0.25393595345677494,0,-0.1877640523018007,-1.1173885503656285,1,Fiskal Menengah Tinggi
11,Jawa Tengah,01,Kab. Banjarnegara,2021,8766486097.0,294844828809.0,816467236902.0,313830623336.0,58925075927.0,23289655400.0,2042019297374.0,2086059742250.0,1534691677765.0,0.15044181956050112,0.7356892262873063,0.39983326208129477,0.1443888552807337,0.00429304762607951,0.978888214951841,0.0,0.0,0.0,0.26764344891423664,0,-0.4710425615631208,-0.058342280974925914,1,Fiskal Menengah Tinggi
11,Jawa Tengah,01,Kab. Banjarnegara,2022,15015424043.0,191794043374.0,822165098279.0,284507773825.0,74794300599.0,29886824338.0,2039210930404.0,2044546403305.0,1593758070388.0,0.13915447131211817,0.7795167024879931,0.40317805579637417,0.09405306754412235,0.007363350117010802,0.9973903879645992,-0.09343527154647924,-0.0013752891432571301,-0.019900359565073744,0.2419998916867927,0,-0.8953064224431878,0.05305501645705383,1,Fiskal Menengah Tinggi
11,Jawa Tengah,01,Kab. Banjarnegara,2023,7488416000.0,222873336612.0,798854946923.0,287759235787.0,73134823523.0,28433590632.0,2025969513193.0,2030281830003.0,1579035346302.0,0.1417336408840219,0.7777419484169185,0.39430748672223415,0.11000823811052501,0.003696213566510184,0.9978760008850626,0.011428376519511119,-0.00649340243011387,-0.0069768889954962,0.2483114374828362,0,-0.6707373328802395,0.07425527266570231,1,Fiskal Menengah Tinggi
11,Jawa Tengah,01,Kab. Banjarnegara,2024,5381848000.0,235196246888.0,968930096077.0,385229437608.0,86613387782.0,263642731324.0,2359094490922.0,2340245993457.0,1746203537167.0,0.16461066002678673,0.7461623872230272,0.41072118976392297,0.09969767967881556,0.002281319387887945,1.0080540667595193,0.33872136737653724,0.16442743859653808,0.1526705105042201,0.2588684321865971,0,-0.9128321799811521,0.3331771602691888,1,Fiskal Menengah Tinggi
11,Jawa Tengah,01,Kab. Banjarnegara,2025,1932524932.0,170461206216.0,879990991275.0,378463598296.0,143620380071.0,192226987272.0,2141009828693.0,2155547912107.0,1595317090727.0,0.17557651869870072,0.7400981818899183,0.41101679192766666,0.07961719929144823,0.0009026231015388324,0.9932555043975853,-0.01756314199146103,-0.09244422513307915,-0.07892250723487615,0.260147317544822,0,-1.1776326935257404,0.25093873969538116,1,Fiskal Menengah Tinggi
20,Sulawesi Selatan,01,Kab. Bantaeng,2021,2244600000.0,143733807308.0,412847481581.0,121641639657.0,21970216711.0,6620863220.0,962752200377.0,974580773196.0,774602266553.0,0.12481432324802944,0.7948056106348181,0.42882008622710477,0.1492947066251481,0.0023314410490269943,0.9878629117828686,0.0,0.0,0.0,0.23907853455771444,0,-0.5938603932109379,-0.12579123996857586,1,Fiskal Menengah Tinggi
20,Sulawesi Selatan,01,Kab. Bantaeng,2022,3412245000.0,177722678998.0,400229492224.0,175744948656.31,52949102178.36,7000901313.0,1011212444331.0,1021368094942.3,734911233660.0,0.1720681794610378,0.7195361175850291,0.39579169982306206,0.17575206871151405,0.003374409619985917,0.9900568162824063,0.4447762226147909,0.05033511627916676,0.048007638805419584,0.2863319071927964,3,-0.13657222266755595,0.2012948902302218,1,Fiskal Menengah Rendah
20,Sulawesi Selatan,01,Kab. Bantaeng,2023,1013400000.0,125579404364.0,392459378585.0,176402189420.71,62042884185.15,8611285747.0,916844162093.0,941893581562.44,689657560055.0,0.18728462840577914,0.7322032696209442,0.42805461910678655,0.1369691923187071,0.0011053132494038894,0.9734052551585634,0.003739741992159873,-0.09332191545608637,-0.07781182295923372,0.27428171717917077,0,-0.8646802174649514,0.1351143201318108,1,Fiskal Menengah Tinggi
20,Sulawesi Selatan,01,Kab. Bantaeng,2024,4846400000.0,153698085912.0,452653454075.0,228073479657.63,76551288191.57,14913192549.0,1059138263137.8,1062729632835.9,776020276717.0,0.21461100980972425,0.7302142075837158,0.427379002184257,0.14511616779536837,0.0045757954071473815,0.9966206177120361,0.2929175108687947,0.15519987684708236,0.1282905560021057,0.28610773465969686,0,-0.7482041677250416,0.5546037907874187,1,Fiskal Menengah Tinggi
20,Sulawesi Selatan,01,Kab. Bantaeng,2025,88800000.0,95095474278.11,433511403799.4,175252779623.91,60404091197.58,105175011178.05,875064950573.51,902383818292.91,665435725246.0,0.19421090679068856,0.737419833729778,0.4954048308245924,0.10867247535829798,0.00010147818163874721,0.9697258891775336,-0.23159509870683437,-0.17379535700934357,-0.1508810986244039,0.25627238785103756,0,-1.7305244759339016,0.15914230884789035,1,Fiskal Menengah Tinggi
12,DI Yogyakarta,01,Kab. Bantul,2021,2990500000.0,274194646994.36,894085181553.0,491670724028.1,203758210969.0,27767869814.0,2226588267594.9,2235655701355.1,1394234560549.0,0.2199223805928986,0.6236356339233771,0.4015493993951412,0.1231456443855862,0.001343086211098317,0.9959441725509415,0.0,0.0,0.0,0.3153831737247592,0,-0.75044490571692,0.5726888702020945,1,Fiskal Menengah Tinggi
12,DI Yogyakarta,01,Kab. Bantul,2022,8110400000.0,221698419757.81,853342373348.0,540572423372.8,252857438493.7,42178624886.07,2272474588197.1,2260577439195.5,1469251642781.0,0.23913023902652955,0.649945282699044,0.37551239418919585,0.09755815132511453,0.0035689728026549686,1.0052628805345567,0.0994602626409482,0.020608354615900826,0.011147395292259832,0.3156184144117081,0,-0.774935222124589,0.7846392529659497,1,Fiskal Menengah Tinggi
12,DI Yogyakarta,01,Kab. Bantul,2023,4947600000.0,224731285840.81,774329952468.0,538527911934.96,245090877153.0,38169476942.8,2237154159149.7,2278711945351.6,1472222877737.0,0.23632996396649264,0.6460767806743732,0.34612275121992847,0.10045409026538703,0.0022115597084648333,0.9817625978190554,-0.0037821230781319715,-0.01554271683866082,0.008022068097146784,0.3220625600287708,0,-0.5751198680024223,0.5162345050898017,1,Fiskal Menengah Tinggi
12,DI Yogyakarta,01,Kab. Bantul,2024,4790600000.0,279968387225.89,952731205875.0,638567864259.57,295769695358.9,307622088520.0,2616013652966.7,2609413354404.6,1678657691985.0,0.24471702161778597,0.643308462092249,0.3641919853111438,0.10702099620481369,0.001831259555762334,1.0025294185572244,0.1857655844896895,0.16934885433241553,0.14512646485555392,0.3233896442218968,0,-0.6080045560829458,0.7910828975948073,1,Fiskal Menengah Tinggi
12,DI Yogyakarta,01,Kab. Bantul,2025,5125600000.0,181065140131.8,957686495761.0,710812647578.42,411095799994.5,261813743560.0,2342202450792.6,2174849803720.4,1341049631307.0,0.3268329823799651,0.6166171240942422,0.40888288518224347,0.07730550365982566,0.0021883676188048985,1.0769490595561675,0.11313563892323186,-0.10466734447795545,-0.16653687693851638,0.34392178650494365,1,-1.1548272136072337,2.1070012099457927,1,Mandiri Fiskal
06,Sumatera Selatan,11,Kab. Banyuasin,2021,642525000.0,444620359691.62,761264958731.2,228458786718.56,139364973048.45,7872913175.0,2332836297622.2,2285916391687.5,1755077427428.0,0.0999418821918977,0.7677784864792775,0.3263259233008067,0.1905921817766682,0.0002754265272084926,1.0205256439410118,0.0,0.0,0.0,0.26588828884251714,3,0.8263360643872444,0.021558306610799754,1,Fiskal Menengah Rendah
06,Sumatera Selatan,11,Kab. Banyuasin,2022,167790000.0,397943100687.88,759387609273.05,227133094502.63,158833853545.0,11310572345.0,2266665418753.6,2354400284267.0,1738887477696.0,0.09647174102909344,0.7385691759026317,0.33502412971501727,0.17556322931273288,7.402504075447748e-05,0.962735790468733,-0.0058027630933851215,-0.02836499026358874,0.029959053983135364,0.2672306353040679,3,0.41397841094314175,-0.5950792870124074,1,Fiskal Menengah Rendah
06,Sumatera Selatan,11,Kab. Banyuasin,2023,6460000000.0,361861321939.87,788691895607.0,257344462337.95,165843962776.0,14527733682.0,2363259343515.6,2383394379355.1,1835615848655.0,0.10797393187089012,0.7701687410841682,0.3337305733164845,0.15311959854628682,0.0027335129416605044,0.9915519496001547,0.1330117387845926,0.04261499026844251,0.012314853715338803,0.2591264959297299,3,0.29112173769459404,-0.22574164731493174,1,Fiskal Menengah Rendah
06,Sumatera Selatan,11,Kab. Banyuasin,2024,6440000000.0,373182675514.62,1037353840706.0,290889176263.09,191824324978.0,13419005438.0,2686109905218.0,2817822662101.7,2248329691895.0,0.1032318960931798,0.7978960926583157,0.38619188242850777,0.13893053102171302,0.0023975191735415386,0.9532572582884045,0.13034946864754526,0.13661241310152827,0.18227293246539755,0.23720487018667505,0,-0.41409822162616927,-0.6374229714519831,1,Fiskal Menengah Tinggi
06,Sumatera Selatan,11,Kab. Banyuasin,2025,5285000000.0,394081873462.4,1286849054751.5,385124866024.43,281855821409.0,10904689634.0,2857480259031.1,2965695229899.9,2376386197080.0,0.12985989326942032,0.8012914385542608,0.45034398774388673,0.13791236954897576,0.0018495315875924935,0.963511095213768,0.3239573605726396,0.06379871258439507,0.052477599029566946,0.23264177936674973,0,-0.9785831602052678,-0.33819611829904433,1,Fiskal Menengah Tinggi
11,Jawa Tengah,02,Kab. Banyumas,2021,10865621400.0,432235246229.0,1398098601191.0,761991440173.0,222525782288.0,23687898823.0,3430884286153.0,3487722900410.0,2282438497924.0,0.21847820538822735,0.6544208250190081,0.40750386331410415,0.1259836270122823,0.0031670031670416555,0.9837032310536142,0.0,0.0,0.0,0.3065581183707632,0,-0.8139744888444604,0.43926735900340846,1,Fiskal Menengah Tinggi
11,Jawa Tengah,02,Kab. Banyumas,2022,9044271400.0,479036065598.0,1451366997587.0,822685992141.84,267236064377.0,26130786681.0,3600847367173.0,3426408181663.8,2314527536417.0,0.24010157241171395,0.675496734102797,0.4030626265412794,0.13303426020361642,0.0025117064062342063,1.050910217423219,0.07965253777005699,0.0495391470082418,-0.017580157741027058,0.3111556935508681,0,-0.5127823307743652,1.272647954720066,1,Fiskal Menengah Tinggi
11,Jawa Tengah,02,Kab. Banyumas,2023,12268822550.0,328218939594.0,1370701779759.0,813485506383.16,271422538848.0,23888435328.0,3315740945668.0,3325281252908.2,2225095928619.0,0.24463660199320217,0.6691451818317599,0.413392301213946,0.09898811305594199,0.0037001752401764555,0.9971309773475984,-0.01118347200093528,-0.0791775913925602,-0.029513975975417606,0.30545567760808,0,-1.1204101135559843,0.7483204236090877,1,Fiskal Menengah Tinggi
11,Jawa Tengah,02,Kab. Banyumas,2024,25786006500.0,436935317516.0,1667238715369.0,903571683035.0,323426130549.0,524647625309.0,3905245234876.0,3793670076584.0,2586742016886.0,0.23817877274362736,0.6818574005294695,0.4269229241942698,0.11188422012884772,0.006602916065223433,1.0294108754951268,0.11074097318878162,0.1777896098843863,0.14085690443963483,0.2998904795148178,0,-0.988344357418761,1.0432990134252804,1,Fiskal Menengah Tinggi
11,Jawa Tengah,02,Kab. Banyumas,2025,25786006500.0,436935317516.0,1662136020369.0,903571683035.0,323426130549.0,524647625309.0,3905245234876.0,3793670076584.0,2586742016886.0,0.23817877274362736,0.6818574005294695,0.4256162981840951,0.11188422012884772,0.006602916065223433,1.0294108754951268,0.0,0.0,0.0,0.30015180471685277,0,-0.9772668784348991,1.0429215543140644,1,Fiskal Menengah Tinggi
